1:0.315805 2:0.419236 3:-0.134138 4:0.303555 5:-0.086773 6:0.281333 7:0.085031 8:-0.57001 9:-0.269063 10:-0.076975 11:0.069284 12:0.269528 13:0.115976
1:0.403065 2:0.474942 3:-0.230349 4:0.34449 5:-0.049372 6:0.174398 7:0.074021 8:-0.472797 9:-0.359046 10:0.040785 11:0.178542 12:0.32856 13:0.079617
1:0.503345 2:0.550914 3:-0.32149 4:0.408398 5:0.063302 6:0.161883 7:0.100633 8:-0.394834 9:-0.470853 10:0.187379 11:0.272863 12:0.386691 13:0.0589
1:0.543185 2:0.602091 3:-0.340107 4:0.466147 5:0.14652 6:0.219513 7:0.169962 8:-0.395826 9:-0.521921 10:0.237948 11:0.294533 12:0.406892 13:0.058762
1:0.509286 2:0.605629 3:-0.282539 4:0.49716 5:0.184104 6:0.291459 7:0.256978 8:-0.454149 9:-0.489112 10:0.189264 11:0.239997 12:0.409804 13:0.072228
1:0.4406 2:0.57755 3:-0.191117 4:0.494129 5:0.198277 6:0.334755 7:0.305811 8:-0.503043 9:-0.416761 10:0.111772 11:0.153345 12:0.406545 13:0.090103
1:0.366501 2:0.534242 3:-0.109861 4:0.47993 5:0.189679 6:0.348667 7:0.318204 8:-0.531642 9:-0.348404 10:0.041017 11:0.076793 12:0.391059 13:0.103099
1:0.29093 2:0.47296 3:-0.050833 4:0.454856 5:0.141082 6:0.359619 7:0.319267 8:-0.542978 9:-0.291858 10:-0.026614 11:0.005157 12:0.370765 13:0.103079
1:0.228546 2:0.405904 3:-0.018976 4:0.407396 5:0.059307 6:0.391981 7:0.319608 8:-0.542377 9:-0.240163 10:-0.088721 11:-0.05881 12:0.350079 13:0.090378
1:0.183597 2:0.341763 3:-0.009014 4:0.345517 5:-0.020204 6:0.419106 7:0.314755 8:-0.535168 9:-0.16901 10:-0.144168 11:-0.098409 12:0.31201 13:0.07409
1:0.148394 2:0.285916 3:-0.016569 4:0.274717 5:-0.076367 6:0.403154 7:0.27607 8:-0.513516 9:-0.080511 10:-0.193884 11:-0.123713 12:0.252747 13:0.049726
1:-0.725255 2:-0.65556 3:0.490942 4:-0.440119 5:-0.232063 6:-0.361825 7:-0.093735 8:0.38308 9:0.599265 10:-0.307257 11:-0.392327 12:-0.447387 13:0.058645
1:-0.701407 2:-0.686781 3:0.425845 4:-0.451435 5:-0.227551 6:-0.406664 7:-0.151351 8:0.455846 9:0.577782 10:-0.265852 11:-0.30995 12:-0.477111 13:0.027068
1:-0.652183 2:-0.720465 3:0.326432 4:-0.473918 5:-0.21204 6:-0.453783 7:-0.230466 8:0.564134 9:0.537698 10:-0.218639 11:-0.200719 12:-0.493152 13:-0.032772
1:-0.601793 2:-0.732014 3:0.244459 4:-0.480175 5:-0.200951 6:-0.490813 7:-0.293377 8:0.646433 9:0.500353 10:-0.186295 11:-0.128522 12:-0.47963 13:-0.069229
1:-0.507287 2:-0.681573 3:0.145149 4:-0.451044 5:-0.168062 6:-0.518635 7:-0.337858 8:0.70392 9:0.414621 10:-0.112753 11:-0.038183 12:-0.430445 13:-0.080088
1:-0.355895 2:-0.556066 3:0.006556 4:-0.369955 5:-0.11079 6:-0.516761 7:-0.346421 8:0.719278 9:0.259049 10:0.003717 11:0.092851 12:-0.338383 13:-0.075246
1:-0.173381 2:-0.383061 3:-0.147557 4:-0.252087 5:-0.044435 6:-0.472362 7:-0.317523 8:0.681301 9:0.065162 10:0.132758 11:0.231741 12:-0.219394 13:-0.067955
1:0.005858 2:-0.203546 3:-0.279364 4:-0.134316 5:0.017926 6:-0.403283 7:-0.278396 8:0.601013 9:-0.125816 10:0.245898 11:0.341559 12:-0.094512 13:-0.053274
1:0.43155 2:0.441428 3:-0.327482 4:0.390875 5:0.121941 6:0.275673 7:0.114351 8:-0.425784 9:-0.45054 10:0.151654 11:0.273424 12:0.358423 13:0.077794
1:0.435575 2:0.479159 3:-0.283641 4:0.378656 5:0.116533 6:0.353169 7:0.123696 8:-0.51127 9:-0.430883 10:0.11807 11:0.204246 12:0.365334 13:0.115996
1:0.431966 2:0.505625 3:-0.230221 4:0.363797 5:0.103757 6:0.413648 7:0.127506 8:-0.581842 9:-0.408716 10:0.080228 11:0.136298 12:0.352274 13:0.152021
1:0.432383 2:0.527052 3:-0.205637 4:0.370469 5:0.059246 6:0.421054 7:0.134706 8:-0.615509 9:-0.400442 10:0.042953 11:0.113907 12:0.342798 13:0.161116
1:0.457147 2:0.558443 3:-0.227532 4:0.401946 5:0.015966 6:0.368348 7:0.149286 8:-0.605688 9:-0.425662 10:0.043418 11:0.15257 12:0.363092 13:0.13838
1:0.518948 2:0.608092 3:-0.294217 4:0.444518 5:0.043386 6:0.300151 7:0.161138 8:-0.554392 9:-0.493078 10:0.124911 11:0.230699 12:0.412046 13:0.111997
1:0.571198 2:0.652305 3:-0.342617 4:0.478611 5:0.120133 6:0.282289 7:0.173431 8:-0.507822 9:-0.551364 10:0.217142 11:0.279489 12:0.442972 13:0.10008
1:0.563619 2:0.65958 3:-0.325715 4:0.495449 5:0.1711 6:0.315037 7:0.200204 8:-0.511766 9:-0.547541 10:0.22326 11:0.260759 12:0.437078 13:0.094474
1:0.501346 2:0.629519 3:-0.251886 4:0.493054 5:0.184514 6:0.36335 7:0.242138 8:-0.553399 9:-0.484262 10:0.155267 11:0.187466 12:0.419882 13:0.09516
1:0.429995 2:0.589749 3:-0.16643 4:0.479735 5:0.183268 6:0.397384 7:0.273543 8:-0.588006 9:-0.411169 10:0.077543 11:0.106505 12:0.411145 13:0.101178
1:0.364585 2:0.542904 3:-0.101128 4:0.467222 5:0.166618 6:0.40751 7:0.280963 8:-0.599133 9:-0.348176 10:0.003949 11:0.043393 12:0.401137 13:0.100864
1:0.29626 2:0.47964 3:-0.053701 4:0.446522 5:0.124311 6:0.407951 7:0.276451 8:-0.59054 9:-0.287237 10:-0.070135 11:-0.01678 12:0.385743 13:0.089417
1:0.237347 2:0.415981 3:-0.023227 4:0.40918 5:0.06549 6:0.420686 7:0.27603 8:-0.578499 9:-0.228437 10:-0.132552 11:-0.072678 12:0.365657 13:0.076814
1:0.185097 2:0.353368 3:0.001997 4:0.351675 5:0.005059 6:0.431087 7:0.282006 8:-0.563794 9:-0.152662 10:-0.186321 11:-0.117888 12:0.318991 13:0.064878
1:0.116883 2:0.276858 3:0.039873 4:0.267752 5:-0.042217 6:0.405433 7:0.272179 8:-0.523807 9:-0.045134 10:-0.240503 11:-0.169511 12:0.238347 13:0.047061
1:-0.001527 2:0.162305 3:0.127992 4:0.164009 5:-0.062907 6:0.359546 7:0.245326 8:-0.449029 9:0.102193 10:-0.314949 11:-0.26148 12:0.1452 13:0.032145
1:-0.15353 2:0.00518 3:0.257981 4:0.044576 5:-0.06391 6:0.296255 7:0.190979 8:-0.346802 9:0.263072 10:-0.404289 11:-0.37023 12:0.046967 13:0.023344
1:-0.820039 2:-0.747497 3:0.542569 4:-0.443614 5:-0.293466 6:-0.309524 7:-0.019092 8:0.321519 9:0.673072 10:-0.396829 11:-0.524751 12:-0.411977 13:0.046551
1:-0.809239 2:-0.758961 3:0.513503 4:-0.458595 5:-0.294818 6:-0.344991 7:-0.058399 8:0.373286 9:0.66728 10:-0.381651 11:-0.475239 12:-0.426469 13:0.05396
1:-0.763791 2:-0.738298 3:0.455653 4:-0.457373 5:-0.275358 6:-0.401942 7:-0.115955 8:0.438817 9:0.621832 10:-0.317943 11:-0.376482 12:-0.461648 13:0.056136
1:-0.695493 2:-0.728306 3:0.356215 4:-0.443687 5:-0.258951 6:-0.449703 7:-0.183739 8:0.506412 9:0.560465 10:-0.244607 11:-0.252342 12:-0.486148 13:0.036006
1:-0.625641 2:-0.728221 3:0.250093 4:-0.435818 5:-0.244413 6:-0.478794 7:-0.249819 8:0.578081 9:0.503206 10:-0.193368 11:-0.144234 12:-0.486911 13:-0.006782
1:-0.548654 2:-0.710813 3:0.150706 4:-0.420984 5:-0.223616 6:-0.496638 7:-0.30559 8:0.64437 9:0.441211 10:-0.150724 11:-0.056005 12:-0.457672 13:-0.050765
1:-0.420278 2:-0.626066 3:0.031242 4:-0.367121 5:-0.174077 6:-0.496252 7:-0.339222 8:0.684253 9:0.32675 10:-0.067915 11:0.056112 12:-0.382206 13:-0.07652
1:-0.249535 2:-0.474602 3:-0.109118 4:-0.263842 5:-0.099898 6:-0.462402 7:-0.330418 8:0.672317 9:0.161335 10:0.043831 11:0.191741 12:-0.264951 13:-0.075717
1:-0.089397 2:-0.314505 3:-0.234984 4:-0.153012 5:-0.025476 6:-0.414585 7:-0.294861 8:0.62418 9:-0.004593 10:0.149356 11:0.312542 12:-0.152319 13:-0.060683
1:0.032955 2:-0.185685 3:-0.322617 4:-0.075296 5:0.03693 6:-0.378658 7:-0.265782 8:0.572988 9:-0.140965 10:0.234927 11:0.394972 12:-0.069503 13:-0.041161
1:0.547572 2:0.563029 3:-0.372861 4:0.41876 5:0.145396 6:0.356385 7:0.099771 8:-0.489644 9:-0.521408 10:0.215542 11:0.283096 12:0.39025 13:0.118955
1:0.529776 2:0.578059 3:-0.320952 4:0.412112 5:0.139213 6:0.406315 7:0.114491 8:-0.545198 9:-0.497443 10:0.168174 11:0.219076 12:0.379918 13:0.147357
1:0.516977 2:0.589466 3:-0.290734 4:0.425554 5:0.118918 6:0.420171 7:0.138316 8:-0.575051 9:-0.48857 10:0.125169 11:0.196043 12:0.37941 13:0.155942
1:0.521585 2:0.608007 3:-0.286842 4:0.455247 5:0.100536 6:0.398762 7:0.172007 8:-0.5832 9:-0.500239 10:0.11154 11:0.211461 12:0.398941 13:0.140477
1:0.550459 2:0.643417 3:-0.305254 4:0.48626 5:0.120558 6:0.367209 7:0.200224 8:-0.579178 9:-0.534018 10:0.149279 11:0.240639 12:0.432155 13:0.130383
